SupportItemCategory,SupportItem,SupportItemNumber,Description,P25,P75
Assistive products for household tasks and access,Ramp - Portable for access needs,05_183015811_0103_2_2,"Ramp to transition between levels, usually into a dwelling or vehicle. Removable and transportable without equipment.",10,90
Assistive products for household tasks and access,Home Safety - Slip Resistance Coating / Grab and/or Guide Rails,05_181800111_0103_2_2,"Grab/guide rails, surface treatments, and other lower cost home adaptations for participant access and safety",10,90
Beds and pressure care mattresses and accessories,Pressure Reduction Mattress or Overlay -Complete,05_043306803_0103_1_2,Complete pressure reduction mattress or overlay specifically to manage tissue integrity when reclined,23,80
Beds and pressure care mattresses and accessories,Pressure Reduction Mattress or Overlay - High Complexity Need,05_043306804_0103_1_2,Variable and active pressure management mattress or overlay for high risk tissue integrity needs,15,70
Beds and pressure care mattresses and accessories,Bed - Access / Transfer Pole / Blocks / Rails / Rail-Covers,05_181200711_0103_1_2,Devices for self-assisted transfer/position in bed; rails and rail covers which attach to a bed to prevent the individual falling out. ,23,60
Beds and pressure care mattresses and accessories,Bed - Ancillary Furniture,05_180315111_0103_1_2,"Tables, supports and other devices for holding items for activity for a lying person (Over-Bed Table or Support).",12,43
Beds and pressure care mattresses and accessories,Bed - Accessories and Sleep Positioning System - Custom made,05_181224811_0103_1_2,Positioning supports and surfaces to help an individual maintain a consistent and optimal position while lying in bed.,15,55
Beds and pressure care mattresses and accessories,Bed - Electrically adjusted,05_181210811_0103_1_2,A bed which can be adjusted in height or angle through an electronic mechanism (may include companion bed); includes adjustable High/Low Bed/Cot Frames with Repositioning Systems.,25,80
Beds and pressure care mattresses and accessories,Bed - Manually adjusted,05_181207811_0103_1_2,A bed to address a participant's functional needs that has manual or no adjustment (Bed Frame / Cot / Cradle).,45,90
Equipment or aids for dressing or specialised clothing,Cooling Vest - All Sizes,05_043006111_0103_1_2,Vest used for people with thermoregulatory problems,5,25
Specialised household furniture,Specialised Seating - Sit-Stand Assistance,05_180909811_0103_1_2,Chairs with an in built mechanical or electric system to assist the individual in movement to a standing position.,300,500
Specialised household furniture,Specialised Seating - Static with Pressure Management and/or Postural Support,05_180921821_0103_1_2,Custom fit seating (including lounge furniture) for an individual with body shape or complex pressure care needs to accommodate (complex postural/tissue care needs).,300,500
Specialised household furniture,Specialised Lounge Chair - Mobile with Pressure Management /Positioning Systems,05_180915811_0103_1_2,Lounge type chair with wheels that has features to manage tissue integrity and/or help with occupation posture control,300,500
Specialised household furniture,Standing / Walking Frame - Child,05_120603831_0103_1_2,Apparatus to hold an individual in a standing position (5 years old to teenager),300,500
Specialised household furniture,Standing Frame / Support for Standing - Adult,05_044839811_0103_1_2,Apparatus to hold an individual in a standing position (adult),300,500
Specialised household furniture,Standing / Walking Frame - Powered Component (including Myoelectric) ,05_044839870_0103_1_2,"Powered or electronically controlled feature, including FES functions added to a standing or walking frame (to be used with a standing/walking frame code)",300,500
Bathroom and toilet equipment,Repairs and Maintenance - Bathing/Toileting AT,05_500933306_0103_1_2,Repairs to any toileting or bathing equipment,75,125
Bathroom and toilet equipment,Bathing Support - Special Design,05_093305121_0103_1_2,"Postural support inserted into a bath or placed on a stand, for a person who requires assistance to sit / transfer safely during bathing.",75,125
Bathroom and toilet equipment,Change Table / Shower Trolley - Manual,05_093312811_0103_1_2,Fixed or height adjustable change table or mobile trolley,75,125
Bathroom and toilet equipment,Change Table / Shower Trolley - Powered,05_093312891_0103_1_2,"Power adjustable change table or shower trolley, for child or adult.",75,125
Bathroom and toilet equipment,Shower Commode - Wheeled,05_091203811_0103_1_2,Wheeled shower/commode chair for use in the shower or toileting,75,125
Bathroom and toilet equipment,Shower Commode - Wheeled - Custom,05_091203821_0103_1_2,Custom-made wheeled shower / commode chair for use in the shower or toileting,75,125
Bathroom and toilet equipment,Shower Commode - Wheeled - Tilt in Space,05_091203891_0103_1_2,Shower / commode chair for use in the shower or toileting that can tilt the seated participant to maintain posture (particularly for those with low tone),75,125
